School Name,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary
South Dakota School of Mines & Technology,55800.0,93400.0,71500.0,81900.0,122000.0,147000.0
University of Michigan,52700.0,93000.0,50900.0,69400.0,128000.0,182000.0
Purdue University,51400.0,90500.0,49900.0,67400.0,121000.0,168000.0
Marquette University,48500.0,88400.0,49500.0,67400.0,121000.0,184000.0
DePauw University,41400.0,88200.0,49500.0,57400.0,133000.0,185000.0
University of Wisconsin (UW) - Madison,48900.0,87800.0,47400.0,62400.0,118000.0,170000.0
Bradley University,47000.0,87300.0,45900.0,64900.0,113000.0,151000.0
St. Olaf College,45300.0,86200.0,41300.0,61000.0,120000.0,185000.0
Michigan State University (MSU),46300.0,85300.0,44200.0,61500.0,119000.0,170000.0
DePaul University,46400.0,84800.0,50300.0,63900.0,115000.0,160000.0
Iowa State University,45400.0,84600.0,44400.0,60000.0,109000.0,147000.0
University of Minnesota,46200.0,84200.0,49000.0,63200.0,112000.0,148000.0
"Indiana University (IU), Bloomington",46300.0,84000.0,43600.0,60400.0,119000.0,178000.0
University of Iowa (UI),44700.0,83900.0,43300.0,61100.0,116000.0,163000.0
Ohio State University (OSU),44900.0,83700.0,45500.0,60700.0,116000.0,162000.0
Denison University,42000.0,83500.0,,62100.0,122000.0,
University of Illinois at Chicago,47500.0,81700.0,44700.0,58800.0,110000.0,146000.0
Oberlin College,43400.0,81600.0,,46400.0,128000.0,
University of Kansas,42400.0,81600.0,44800.0,57200.0,115000.0,156000.0
University of Missouri - Columbia,41700.0,81000.0,43500.0,57100.0,111000.0,156000.0
University of Nebraska,45700.0,80900.0,42200.0,56600.0,113000.0,156000.0
Northern Illinois University (NIU),43600.0,80800.0,43900.0,60200.0,111000.0,161000.0
Gustavus Adolphus College,44500.0,80600.0,,49300.0,101000.0,
University of North Dakota,44000.0,80600.0,43400.0,56400.0,111000.0,157000.0
Kansas State University (KSU),43300.0,79000.0,37200.0,54100.0,106000.0,138000.0
University of Wisconsin (UW) - Platteville,45800.0,78500.0,48400.0,61200.0,100000.0,139000.0
Wittenberg University,39200.0,78200.0,,54100.0,131000.0,
North Dakota State University (NDSU),45100.0,77800.0,39000.0,55800.0,100000.0,123000.0
Grinnell College,42600.0,76600.0,,65100.0,116000.0,
Wayne State University,42800.0,76100.0,40100.0,56200.0,101000.0,139000.0
University of Toledo,43100.0,75900.0,40100.0,54100.0,100000.0,133000.0
University of Wisconsin (UW) - Whitewater,40800.0,75500.0,38200.0,53500.0,99300.0,150000.0
Minnesota State University - Mankato,43300.0,74700.0,39500.0,53800.0,95700.0,140000.0
University of Wisconsin (UW) - Milwaukee,42300.0,74600.0,40600.0,54000.0,93700.0,123000.0
Western Michigan University (WMU),42300.0,73800.0,40100.0,52500.0,103000.0,135000.0
South Dakota State University (SDSU),41100.0,73500.0,34100.0,49900.0,99400.0,129000.0
Ohio University,42200.0,73400.0,36600.0,52800.0,106000.0,150000.0
Illinois State University,42000.0,73400.0,39100.0,55200.0,105000.0,142000.0
Cleveland State University,43500.0,73100.0,39500.0,51600.0,97000.0,137000.0
University of Nebraska at Omaha,41500.0,72600.0,39500.0,54400.0,97400.0,126000.0
Southern Illinois University Carbondale,43000.0,72500.0,38300.0,51300.0,99300.0,139000.0
Eastern Michigan University,40300.0,72100.0,37900.0,52800.0,95400.0,135000.0
Bowling Green State University,39800.0,72100.0,38200.0,51800.0,101000.0,146000.0
St. Cloud State University,41800.0,71400.0,38700.0,49400.0,101000.0,126000.0
University of Wisconsin (UW) - Parkside,40700.0,71400.0,40900.0,53100.0,84900.0,119000.0
University of Akron,41100.0,70300.0,40600.0,53300.0,95200.0,127000.0
Missouri State University (MSU),36100.0,69500.0,33300.0,46900.0,102000.0,134000.0
University of Wisconsin (UW) - La Crosse,42200.0,69300.0,37500.0,47200.0,93100.0,133000.0
University of Wisconsin (UW) - Stout,43600.0,68300.0,40900.0,50600.0,91600.0,136000.0
Robert Morris College (RMC),38500.0,68200.0,37300.0,47100.0,95000.0,128000.0
University of Missouri - St. Louis (UMSL),41400.0,67100.0,36800.0,49600.0,97600.0,144000.0
University of Wisconsin (UW) - Oshkosh,39300.0,66400.0,37700.0,49700.0,90100.0,138000.0
University of Missouri - Kansas City (UMKC),38900.0,65800.0,36300.0,48100.0,95800.0,124000.0
University of Wisconsin (UW) - Eau Claire,41400.0,64800.0,35000.0,47300.0,93100.0,125000.0
Ball State University (BSU),39100.0,64500.0,35500.0,48200.0,89300.0,128000.0
Park University,44300.0,64300.0,37200.0,45600.0,86400.0,113000.0
University of Wisconsin (UW) - Stevens Point,39800.0,64000.0,38400.0,45100.0,95400.0,128000.0
Kent State University,38700.0,62600.0,36100.0,45800.0,87000.0,124000.0
University of Wisconsin (UW) - Green Bay,35800.0,60600.0,35500.0,46800.0,81800.0,102000.0
Indiana Wesleyan University (IWU),39800.0,58500.0,39600.0,47800.0,78600.0,93400.0
Pittsburg State University,40400.0,58200.0,25600.0,46000.0,84600.0,117000.0
Davenport University,39700.0,46600.0,31600.0,38100.0,65600.0,85700.0
Black Hills State University,35300.0,43900.0,,32200.0,60900.0,
Rice University,64000.0,110000.0,55900.0,82100.0,141000.0,216000.0
Georgetown University,55000.0,110000.0,60300.0,85800.0,174000.0,248000.0
Duke University,58900.0,106000.0,56000.0,77400.0,149000.0,218000.0
Georgia Institute of Technology,58300.0,106000.0,67200.0,85200.0,137000.0,183000.0
Washington and Lee University,53600.0,104000.0,,82800.0,146000.0,
Vanderbilt University,51200.0,104000.0,49900.0,68100.0,147000.0,222000.0
Davidson College,46100.0,104000.0,,70500.0,146000.0,
University of Virginia (UVA),52700.0,103000.0,52200.0,71800.0,146000.0,215000.0
